r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4
113,231,224,255,139,218,67,169,221,241,46,144
242,241,240,192,201,204,163,157,146,99,96,89
1,99,103,158,58,20,230,105,18,11,28,72
0,224,212,234,239,242,255,69,0,234,239,242
76,83,85,196,75,79,96,125,134,203,205,203
251,181,116,232,141,114,84,56,85,255,136,130
240,247,224,211,187,221,188,150,202,149,186,97
49,78,112,53,213,208,237,174,192,235,238,224
116,93,32,206,166,96,243,237,224,107,122,64
220,219,216,209,165,138,92,151,184,24,58,83
156,160,161,215,212,204,167,192,190,77,103,114
30,21,20,255,255,255,236,213,187,1,58,32
27,42,55,220,197,195,214,225,235,173,196,215
247,221,128,138,226,224,247,211,48,58,163,160
250,203,128,251,216,176,246,151,112,181,43,64
5,6,6,253,253,253,216,215,213,173,179,188
252,214,153,221,201,216,246,200,204,240,156,162
11,31,101,232,227,204,215,164,73,219,63,41
180,248,200,251,200,88,255,130,16,86,88,25
220,119,38,221,192,119,87,137,106,74,84,93
214,221,224,68,111,160,34,60,96,81,85,91
252,167,165,90,62,121,19,3,41,167,98,134
248,168,197,251,209,96,235,99,160,228,70,80
165,207,227,0,34,28,2,132,118,231,246,252
255,176,1,68,238,119,1,153,146,251,71,94
137,190,99,175,204,169,207,237,238,236,249,242
166,223,235,252,151,157,248,205,79,251,74,155
21,153,142,69,176,140,72,188,209,192,220,236
113,91,91,164,124,122,214,197,196,15,17,16
255,224,174,255,69,0,108,130,85,255,163,3
191,215,237,96,163,217,0,116,183,0,59,115
204,224,210,97,194,162,44,131,149,29,97,122
243,104,112,232,218,192,255,183,176,169,197,208
169,188,176,232,134,112,56,73,96,76,125,96
107,27,0,174,139,112,249,254,251,86,56,45
49,237,49,16,188,16,17,167,187,42,182,123
240,216,184,99,79,64,243,240,233,230,183,148
236,248,127,228,165,143,151,212,155,166,226,220
238,231,224,114,84,80,198,173,144,247,202,201
94,55,109,247,233,81,212,187,221,246,230,232
173,211,208,151,12,16,21,50,80,254,252,255
242,228,207,208,144,100,169,96,54,219,196,175
161,106,232,177,159,249,14,53,6,254,163,3
4,0,0,246,199,165,242,208,193,247,248,248
181,242,238,255,121,48,0,224,234,249,241,224
209,161,121,241,230,212,193,194,173,203,225,223
208,222,229,232,147,148,246,241,231,152,142,146
6,117,147,5,87,114,9,169,200,0,31,61
251,188,84,248,220,176,252,94,112,242,177,144
230,105,76,255,141,128,249,200,176,104,231,224
226,217,202,74,148,168,43,41,60,106,73,115
99,116,122,192,194,201,18,49,117,82,152,193
245,99,26,254,235,160,212,30,0,72,29,1
247,216,217,161,219,229,255,216,192,0,183,175
33,197,196,249,233,80,255,148,178,193,79,96
169,183,194,208,180,159,74,111,137,238,206,136
140,155,136,245,232,218,115,94,147,239,241,239
242,72,182,20,82,124,8,11,57,105,18,74
159,144,207,4,97,177,177,54,91,233,216,225
4,249,242,0,145,231,0,91,234,0,0,255
8,57,43,87,142,135,247,226,199,41,102,12
61,57,59,126,30,128,149,5,227,182,55,251
252,77,176,249,232,48,34,21,48,245,40,112
79,55,80,203,152,112,141,137,96,170,161,160
115,67,109,229,230,233,182,124,154,31,37,47
251,220,192,221,175,176,143,105,128,28,37,32
252,220,169,236,196,179,184,208,221,102,157,186
241,190,202,185,92,80,205,126,127,243,228,226
253,210,100,255,198,128,245,107,57,103,3,5
162,196,224,247,203,45,13,101,157,19,144,224
58,106,89,167,168,138,214,193,138,185,200,188
255,206,102,249,171,64,169,229,213,68,69,91
222,179,173,235,124,143,220,93,133,223,209,197
157,190,209,20,130,159,216,227,236,0,79,118
240,237,224,67,63,48,151,12,16,145,142,128
47,243,224,255,128,0,224,157,96,31,57,96
252,248,246,0,187,209,0,224,234,150,161,168
231,132,132,252,164,162,71,211,206,200,244,249
163,193,74,109,131,67,209,3,209,110,53,98
255,15,57,254,218,21,126,157,194,248,248,248
165,140,179,161,106,232,234,231,250,217,161,160
41,179,255,129,234,255,251,192,14,255,215,116
229,232,232,141,151,151,78,84,92,0,4,1
216,206,230,114,67,92,180,248,200,66,70,81
229,218,206,188,190,192,92,83,80,60,54,48
6,30,71,104,164,241,43,106,208,31,69,145
237,231,208,253,205,147,3,79,57,84,147,105
228,244,243,161,219,241,113,213,228,0,182,188
113,159,30,74,114,18,213,206,88,16,66,16
30,49,72,158,111,109,230,215,213,67,177,75
41,102,12,247,226,199,87,142,135,28,69,8
107,58,44,201,177,198,59,9,24,201,177,198
246,212,210,237,209,250,159,168,235,65,32,169
16,86,79,33,182,168,48,217,200,117,230,218
243,204,60,209,154,48,125,63,32,0,0,0
211,210,199,91,137,174,173,196,215,203,142,102
236,241,242,127,127,127,244,216,0,5,7,7
251,220,106,177,43,36,118,5,4,9,10,14
255,255,255,233,216,225,229,206,246,182,85,200
101,223,246,0,71,143,26,131,204,203,235,245
184,51,48,203,215,208,243,237,224,213,182,144
253,242,231,254,233,0,4,211,188,254,204,200
169,36,32,209,145,62,14,49,96,19,83,144
224,137,85,0,72,164,227,90,1,104,154,184
248,215,168,239,151,113,221,221,164,123,88,61
255,39,104,163,163,183,27,74,86,242,238,247
247,98,1,254,235,160,212,30,0,103,41,1
98,126,139,210,204,204,234,237,240,24,75,41
233,103,155,248,205,79,185,163,209,110,224,224
250,251,244,0,160,243,0,0,255,0,0,102
0,116,221,155,204,253,54,214,231,129,89,159
43,102,112,99,126,144,119,167,176,229,242,240
60,76,112,220,161,176,237,238,241,145,104,160
187,192,182,213,132,105,240,237,228,67,88,97
242,218,208,236,180,185,234,133,199,137,154,137
151,12,16,239,244,240,56,70,64,36,76,96
227,230,224,37,41,48,192,179,160,107,132,144
96,63,139,185,167,187,50,59,54,97,108,89
253,242,237,247,201,182,241,161,126,165,62,18
221,219,219,238,165,166,158,150,142,251,201,156
16,66,16,106,136,32,211,192,47,242,228,55
100,213,221,87,165,184,246,129,129,169,74,95
191,132,34,54,27,40,188,156,34,182,204,215
200,244,249,21,146,180,224,160,48,160,98,4
63,109,60,247,187,219,255,11,172,123,22,62
19,195,247,255,39,104,233,233,231,255,243,135
255,191,144,243,104,112,206,214,202,255,245,215
4,59,177,30,138,211,16,188,16,29,53,55
27,46,60,12,12,30,77,0,17,243,227,226
234,49,96,20,43,112,233,158,176,70,82,160
122,0,81,211,177,194,36,8,49,228,75,125
24,72,160,71,216,224,89,206,224,38,146,208
233,218,196,57,34,31,239,129,62,94,104,38
208,180,159,192,211,154,79,95,44,42,41,28
213,213,192,77,221,224,49,204,224,29,179,192
59,34,68,160,106,180,232,69,174,235,164,8
143,69,83,244,243,241,230,229,227,226,172,185
8,130,128,6,51,64,0,128,0,4,208,16
0,143,222,164,216,251,56,204,237,149,113,171
0,0,163,0,65,151,127,62,113,223,38,94
240,231,228,19,25,25,99,79,64,180,154,135
0,51,102,113,177,197,203,230,239,240,242,243
240,147,96,246,34,128,251,143,192,249,191,80
254,250,229,212,197,182,196,206,197,110,114,110
43,24,163,243,83,213,233,216,225,136,201,250
115,138,118,101,252,106,255,11,172,228,249,149
50,89,128,212,194,176,32,46,80,119,113,128
220,119,38,236,192,70,245,247,237,66,192,210
205,211,208,135,177,176,56,110,144,52,74,112
59,34,68,16,81,96,45,118,112,205,150,107
109,61,56,233,218,196,224,172,142,81,72,67
1,98,54,2,137,75,6,4,10,190,211,171
120,125,18,86,124,9,188,196,28,235,240,148
4,10,24,11,28,71,245,245,233,135,63,73
0,31,61,21,25,131,24,99,214,182,203,225
227,105,32,239,167,16,232,212,192,220,173,144
247,203,202,236,105,100,241,131,112,114,24,22
43,67,16,78,113,48,201,181,144,149,178,80
43,67,16,78,113,48,201,181,144,149,178,80
232,198,174,212,199,175,189,184,182,128,118,114
0,38,76,54,69,79,163,171,176,212,208,208
238,222,224,248,125,176,239,92,144,188,45,64
233,40,160,39,17,64,60,190,208,230,211,80
37,40,39,255,254,230,41,18,17,248,207,44
220,167,160,22,92,64,225,122,130,140,199,192
146,113,194,45,22,116,255,242,255,112,58,207
220,242,240,255,230,91,250,215,243,102,184,201
239,234,224,233,143,192,158,143,144,205,96,144
186,211,228,30,119,189,16,86,79,4,52,92
30,18,0,139,128,96,253,255,240,151,12,16
37,108,112,191,13,112,240,84,176,224,233,208
245,213,228,230,101,121,252,192,197,247,231,206
227,239,249,170,205,229,108,196,220,63,146,183
248,255,202,182,208,132,255,203,50,47,118,4
142,183,206,84,98,123,162,190,239,251,178,163
180,100,144,227,217,224,241,236,208,99,79,80
35,66,74,101,169,166,236,236,235,59,112,125
104,106,78,207,205,194,151,117,87,117,117,115
19,1,112,205,244,220,1,148,154,205,0,70
251,223,160,255,194,199,93,217,251,187,213,210
76,50,96,228,52,128,234,212,192,244,58,176
0,12,32,239,51,64,241,180,32,255,250,224
32,57,70,119,141,153,198,174,150,255,153,54
253,121,36,87,165,184,226,27,50,236,239,91
114,104,176,220,140,176,45,210,32,231,33,160
201,217,240,129,85,186,254,196,55,254,91,214
195,165,124,193,147,125,193,177,153,222,216,205
34,44,69,158,191,207,142,123,150,238,214,211
237,229,225,149,103,91,198,165,144,212,172,116
101,212,238,157,232,156,250,193,47,207,233,239
177,65,0,227,158,48,138,89,32,143,174,112
253,191,175,252,238,150,126,182,215,77,82,100
91,92,80,27,30,30,194,173,144,228,220,192
135,74,91,35,36,37,227,205,188,175,178,174
78,81,78,152,140,128,224,163,159,249,235,225
101,78,48,82,118,64,33,37,16,26,51,21
96,56,64,189,137,144,159,148,160,183,208,224
250,208,44,225,42,42,70,154,73,25,42,41
250,208,44,225,42,42,70,154,73,25,42,41
89,12,105,74,13,74,209,159,198,57,143,199
56,57,64,169,138,176,241,241,240,173,169,173
255,255,255,247,231,206,162,163,170,170,156,146
241,210,108,43,18,0,207,92,0,141,30,0
235,233,158,139,202,103,249,217,118,5,88,22
184,4,84,29,25,10,177,117,255,220,188,208
151,130,173,240,91,6,243,185,223,157,27,111
223,214,209,31,35,44,255,255,255,131,116,110
64,181,240,33,68,192,20,34,112,3,3,3
122,62,38,207,104,86,247,231,206,255,255,255
32,26,30,208,180,159,228,212,200,226,230,231
221,176,64,209,183,128,227,229,224,70,66,57
104,99,97,227,34,39,26,124,250,0,112,224
17,118,96,9,50,59,4,177,111,20,225,20
227,90,1,76,124,113,46,71,105,31,38,46
7,210,190,242,78,112,180,248,200,15,19,0
4,220,119,1,98,54,182,210,165,216,147,132
228,215,207,138,50,64,97,121,105,152,112,93
0,61,122,5,21,55,4,36,124,4,88,171
255,187,202,236,253,241,180,248,200,239,237,198
169,186,136,217,198,191,246,240,231,109,111,115
176,183,192,23,23,16,112,115,112,89,94,96
255,218,119,241,175,192,6,150,176,216,52,113
230,189,204,236,234,219,163,118,139,222,186,214
162,196,224,247,203,45,7,19,48,18,46,118
91,220,225,231,59,165,244,151,91,249,216,206
2,132,118,1,93,83,3,3,3,110,203,90
43,25,46,245,232,218,80,0,108,206,140,165
71,66,65,205,166,122,167,168,138,208,204,185
34,34,34,152,134,134,116,183,172,178,74,59
232,0,0,30,115,190,200,80,176,102,10,96
157,206,208,169,138,176,240,241,207,142,163,80
62,75,89,135,147,158,253,144,150,214,247,248
116,178,208,255,245,147,243,104,112,250,250,240
85,88,216,212,187,221,251,211,218,138,223,227
0,191,214,202,223,217,139,209,228,0,181,162
52,57,32,248,249,247,113,116,58,213,186,144
152,215,194,161,163,165,5,171,196,4,144,174
73,14,8,241,161,126,247,201,182,247,220,111
73,14,8,241,161,126,247,201,182,247,220,111
40,118,134,223,209,169,199,159,167,96,63,139
241,180,22,229,106,25,0,0,0,144,0,0
64,198,159,46,118,94,214,43,131,5,35,76
19,41,42,145,202,190,73,159,164,181,223,214
8,21,58,11,31,101,37,53,217,192,141,44
122,64,62,159,43,0,248,151,0,216,205,157
221,129,156,59,31,82,30,20,43,160,89,135
173,200,210,159,156,147,84,98,123,244,244,246
71,82,80,149,137,169,181,238,203,248,162,168
164,170,131,216,221,184,76,65,26,243,238,217
190,209,223,84,110,129,0,31,61,156,185,204
205,203,175,95,101,16,114,48,86,182,124,154
172,230,242,95,201,218,91,116,133,137,207,240
201,129,105,224,235,229,184,221,214,230,183,148
25,39,64,75,109,144,133,174,208,184,209,224
154,186,18,55,82,11,222,230,76,102,147,12
62,0,74,173,226,146,65,32,169,120,0,162
0,0,0,58,73,104,255,69,0,0,135,202
229,225,217,218,167,162,167,168,138,55,57,30
15,125,128,226,186,176,255,150,183,95,211,200
226,179,39,70,147,184,11,31,101,225,217,209
229,162,152,193,217,183,44,119,33,0,224,145
204,167,138,238,238,238,220,180,177,189,240,214
96,100,98,237,240,238,0,115,92,0,73,58
243,229,195,211,167,113,207,192,174,105,69,50
102,102,102,232,232,224,53,47,32,172,148,128
43,142,142,115,176,58,92,216,90,39,142,213
73,159,164,169,88,43,186,153,115,237,223,156
4,66,91,187,203,190,22,121,111,16,86,79
157,80,96,231,223,224,55,99,128,45,31,48
0,134,170,202,198,198,0,69,109,103,215,237
126,216,224,247,102,160,88,228,224,41,78,160
92,204,203,246,240,231,28,121,158,144,137,132
66,195,247,0,165,233,0,58,107,231,237,235
146,207,147,11,28,72,226,237,221,222,202,186
238,214,211,105,201,188,247,188,165,247,131,124
150,69,85,240,187,211,195,214,219,250,220,220
180,248,200,248,211,183,247,172,50,164,71,87
115,133,128,62,62,62,191,202,208,151,12,16
72,113,232,177,117,255,171,114,159,45,22,116
108,109,118,249,251,247,238,147,169,189,240,214
92,6,1,249,148,59,208,83,1,209,194,194
75,68,60,77,0,17,35,36,37,228,229,232
52,222,208,148,250,240,58,247,240,49,209,208
207,224,234,1,148,154,87,131,132,1,99,103
146,68,58,165,101,70,222,186,161,246,233,206
103,110,127,15,13,18,249,246,240,182,115,124
117,183,208,38,63,96,228,235,224,57,130,176
9,18,53,20,32,46,43,66,87,136,169,195
214,226,232,145,193,216,0,112,172,0,51,113
53,204,190,60,119,130,223,232,230,174,205,203
74,39,32,143,79,64,238,195,194,225,177,160
0,134,172,17,129,200,242,240,252,255,0,0
93,119,114,182,226,211,67,97,111,21,45,46
122,121,125,4,211,188,212,176,203,0,224,235
62,0,74,173,226,146,65,32,169,144,95,208
68,73,43,205,209,184,221,187,164,235,221,216
35,103,177,248,207,44,228,230,237,211,168,119
184,116,157,123,65,87,233,189,232,243,228,226
