r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,Skintone,Season
252,139,192,250,83,160,37,192,192,243,188,80,white,summer
239,211,181,95,9,61,178,19,104,214,123,168,white,spring
84,98,123,236,213,187,255,255,255,113,1,23,white,spring
146,44,64,220,151,80,243,234,192,30,38,64,white,spring
180,245,240,44,238,240,4,118,208,4,31,96,white,spring
21,181,176,249,189,192,251,230,152,109,236,224,white,summer
255,131,112,0,177,176,254,200,77,228,34,86,white,summer
217,228,236,183,207,220,106,171,210,56,94,114,white,spring
119,138,53,209,226,196,235,235,232,49,53,46,white,spring
190,175,194,105,94,147,129,85,186,40,28,45,white,spring
255,163,132,232,141,114,84,56,85,255,136,130,white,spring
0,0,163,0,103,179,64,176,223,255,213,61,white,summer
57,145,140,208,180,159,171,107,81,47,67,90,white,spring
234,230,240,247,202,201,214,143,176,191,56,128,white,spring
10,7,8,68,68,68,116,116,116,177,177,177,white,summer
197,152,148,240,209,191,247,201,182,135,119,133,white,spring
165,140,179,131,139,194,234,231,250,217,161,160,white,spring
180,170,169,255,240,223,248,250,253,240,201,179,white,spring
220,71,49,255,243,217,184,57,14,59,9,24,white,spring
0,31,61,4,81,116,216,156,96,232,122,0,white,summer
187,167,140,239,234,228,244,198,212,243,219,178,white,spring
222,226,236,140,117,106,26,200,219,2,146,183,white,summer
83,94,75,193,194,173,181,164,163,233,230,226,white,summer
29,198,144,39,138,176,28,70,112,234,234,224,white,winter
255,176,103,255,237,134,162,220,231,248,204,220,white,spring
203,133,124,246,203,183,250,247,244,156,45,65,white,spring
26,86,83,16,120,105,92,216,90,8,49,58,white,summer
232,238,241,67,176,241,5,125,205,30,61,88,white,spring
255,197,208,255,255,0,34,202,224,245,46,192,white,spring
254,200,167,252,236,165,181,238,203,203,199,252,white,spring
215,115,162,7,187,156,255,215,67,160,106,180,white,summer
0,84,55,222,186,214,52,7,68,116,26,172,white,summer
83,52,64,164,119,134,228,212,200,157,182,204,white,summer
226,128,138,241,204,215,46,118,94,99,140,128,white,spring
153,176,176,181,178,176,252,250,240,138,158,160,white,spring
250,220,220,77,76,96,214,145,160,196,95,144,white,spring
13,105,139,242,241,232,5,5,51,227,66,52,white,summer
246,212,210,161,106,232,65,32,169,161,169,254,white,spring
84,8,107,255,11,172,0,190,197,5,8,51,white,spring
152,4,45,191,76,65,252,192,197,225,226,231,white,summer
119,74,98,251,210,201,49,62,97,129,171,188,white,summer
214,192,153,214,206,192,142,138,146,174,135,129,white,spring
249,241,240,102,54,53,225,153,159,222,179,173,white,spring
234,251,255,119,221,249,255,160,163,127,143,163,white,spring
255,163,184,247,214,208,252,60,128,130,29,48,white,spring
10,65,88,75,131,120,255,150,54,228,215,208,white,spring
14,5,15,23,11,59,52,25,72,147,136,162,white,winter
251,246,243,254,176,106,54,214,231,93,108,137,white,spring
197,95,252,239,220,249,50,62,66,121,84,161,white,spring
124,243,160,180,248,200,255,117,216,255,69,181,white,spring
49,180,242,0,0,255,2,84,146,248,207,64,white,summer
79,0,0,217,206,214,48,52,55,174,139,112,white,summer
255,87,101,255,219,21,138,111,223,168,225,12,white,summer
228,244,243,161,219,241,113,213,228,0,182,188,white,spring
240,204,176,185,125,96,240,161,96,245,77,61,white,spring
233,221,212,0,0,0,233,221,212,144,0,32,white,summer
173,167,167,211,211,203,211,117,6,159,43,0,white,spring
174,56,139,93,241,93,233,131,216,249,180,246,white,spring
247,227,217,249,199,228,198,216,213,254,237,207,white,spring
101,70,62,170,214,160,220,186,169,210,229,208,white,summer
208,17,16,10,10,0,168,187,176,235,232,224,white,summer
152,135,128,255,255,255,19,41,42,231,222,217,white,summer
243,236,218,196,172,149,148,85,61,255,203,164,white,spring
92,78,78,152,134,134,209,208,208,0,0,0,white,spring
93,89,175,160,114,190,190,129,182,227,144,200,white,spring
233,86,112,179,66,112,113,55,112,67,47,112,white,spring
148,223,230,235,220,199,181,238,203,252,185,181,white,spring
254,239,222,218,227,230,223,218,205,110,109,110,white,spring
22,121,111,124,183,175,202,222,223,156,168,158,white,summer
189,198,217,82,104,143,227,231,241,115,145,200,white,spring
219,164,14,75,90,32,120,125,18,126,110,19,white,summer
7,218,192,23,24,16,214,223,224,206,35,128,white,summer
254,222,0,180,248,200,106,184,238,168,217,248,white,summer
246,169,112,240,218,192,238,120,64,92,95,48,white,spring
251,231,224,249,228,208,236,192,176,156,57,64,white,spring
249,184,177,248,71,145,87,219,216,37,56,142,white,spring
31,53,65,82,137,181,175,216,242,237,242,243,white,summer
251,229,192,248,131,121,208,230,240,76,93,112,white,spring
94,55,109,189,151,203,243,234,192,116,112,128,white,spring
248,229,230,170,241,245,81,185,205,58,86,115,white,spring
227,232,240,130,128,127,65,71,84,229,215,190,white,summer
251,192,192,251,108,144,251,141,160,251,84,144,white,spring
183,161,166,193,194,173,239,213,147,237,193,187,white,spring
161,175,160,247,237,208,151,12,16,148,115,96,white,spring
0,0,255,75,123,245,121,169,245,194,226,245,white,summer
138,226,224,246,195,36,58,163,160,247,211,48,white,summer
0,0,0,244,31,78,251,251,251,255,194,199,white,summer
243,227,226,116,17,47,12,12,30,27,46,60,white,summer
249,249,64,245,12,160,67,221,226,234,197,176,white,summer
20,0,5,70,64,51,126,124,115,187,196,194,white,summer
197,229,165,152,182,110,249,216,118,251,227,157,white,summer
251,184,15,251,238,15,197,152,175,127,74,164,white,summer
43,69,96,225,231,224,106,164,176,47,109,128,white,summer
71,72,74,212,151,150,220,174,150,219,202,192,white,summer
186,141,128,240,217,208,223,168,163,226,176,128,white,spring
255,255,245,249,249,251,253,244,227,181,159,132,white,spring
235,231,208,211,165,80,18,17,16,208,17,16,white,summer
81,167,173,241,237,227,247,167,191,220,210,216,white,summer
1,58,32,212,214,207,83,111,22,63,65,34,white,summer
234,234,234,188,148,118,172,186,173,199,161,155,white,spring
76,61,64,189,181,192,200,180,208,246,238,240,white,summer
172,142,96,233,218,196,116,158,178,189,142,131,white,spring
7,4,10,171,5,82,177,117,255,239,235,226,white,summer
248,111,21,250,194,24,222,179,173,245,22,99,white,spring
254,212,63,43,184,179,225,81,175,190,215,216,white,summer
197,227,242,168,206,233,238,214,211,226,156,180,white,spring
39,35,31,222,0,1,200,101,27,254,218,21,white,summer
87,221,243,20,194,221,161,247,161,199,249,84,white,summer
21,27,37,3,70,135,219,232,225,225,0,50,white,summer
255,101,132,171,232,230,240,215,217,65,181,175,white,spring
225,236,240,84,162,210,169,206,232,0,58,100,white,spring
0,104,132,5,61,87,242,241,239,151,188,199,white,summer
25,102,176,115,217,240,247,179,1,235,119,62,white,summer
0,224,145,0,115,92,193,217,183,229,162,152,white,spring
154,118,165,177,159,249,200,157,216,230,222,211,white,spring
110,53,98,223,177,96,52,88,110,209,141,150,white,spring
200,244,249,127,229,240,81,59,65,248,56,57,white,spring
121,128,138,241,230,200,220,220,208,211,186,177,white,spring
66,2,100,92,3,140,27,23,52,137,111,188,white,summer
0,71,143,255,93,0,42,35,31,216,225,231,white,summer
176,210,218,202,178,159,125,161,191,47,74,96,white,spring
241,236,228,203,118,102,169,61,73,234,185,150,white,spring
51,63,99,113,92,140,215,212,221,131,139,194,white,summer
228,229,232,83,86,90,77,0,17,75,68,60,white,summer
255,224,174,245,99,26,162,171,206,255,163,3,white,summer
225,161,64,83,34,0,239,207,160,145,65,16,white,spring
28,155,142,15,30,100,83,223,209,80,101,91,white,winter
108,106,97,237,228,227,108,106,97,192,192,192,white,spring
25,2,4,255,137,118,203,78,71,255,203,164,white,summer
249,241,240,222,179,173,160,135,125,37,35,43,white,spring
0,226,211,55,166,160,144,205,208,255,254,168,white,winter
211,244,251,157,227,246,89,215,238,83,223,209,white,spring
147,233,190,244,177,140,235,238,241,59,151,120,white,summer
146,121,79,221,202,178,195,176,144,241,236,228,white,summer
251,221,0,233,162,0,179,40,0,127,0,0,white,summer
57,19,6,241,206,212,113,0,25,249,204,211,white,summer
255,219,21,2,3,1,181,161,151,243,245,249,white,summer
146,141,137,255,136,130,255,163,132,228,230,155,white,spring
59,112,125,255,184,93,255,84,18,3,10,4,white,summer
244,242,235,228,2,27,255,219,21,63,94,152,white,summer
240,156,162,178,196,203,153,157,160,243,243,231,white,spring
177,212,224,175,193,208,28,63,96,11,19,32,white,spring
1,222,230,255,102,233,255,84,18,251,246,8,white,summer
250,165,144,180,57,48,251,229,224,242,138,128,white,spring
143,160,31,29,116,27,139,205,80,222,217,62,white,summer
189,240,214,255,210,148,247,235,219,243,160,137,white,spring
0,234,217,0,196,176,19,139,131,52,83,81,white,winter
151,12,16,191,202,208,71,68,64,115,133,128,white,summer
171,234,124,242,227,76,178,215,218,225,81,175,white,spring
244,247,240,191,210,208,54,137,128,98,204,192,white,spring
237,208,192,200,98,109,179,192,174,188,136,128,white,spring
240,229,208,238,202,201,250,57,128,249,0,103,white,spring
217,89,128,99,170,192,249,155,69,40,78,96,white,spring
255,206,19,136,7,11,246,81,86,0,146,146,white,summer
124,156,171,232,203,177,254,236,195,51,58,68,white,spring
247,212,224,253,122,192,122,215,240,68,200,224,white,spring
11,9,9,68,68,76,140,140,140,214,214,214,white,summer
217,193,187,154,177,154,82,88,77,9,10,14,white,spring
230,183,148,184,221,214,224,235,229,173,151,135,white,spring
22,121,111,173,201,197,108,176,168,16,86,79,white,summer
11,28,72,236,213,187,255,255,255,113,1,23,white,spring
242,214,192,229,185,144,215,155,112,253,219,216,white,spring
241,228,136,1,185,204,243,185,223,211,233,231,white,summer
249,233,208,219,135,128,163,0,82,38,22,31,white,spring
162,196,224,247,203,45,82,104,143,130,164,227,white,spring
82,58,40,34,130,128,191,99,54,237,241,242,white,summer
159,217,208,247,201,192,243,76,80,58,167,160,white,spring
113,231,224,255,139,218,67,169,221,241,46,144,white,spring
242,241,240,192,201,204,163,157,146,99,96,89,white,spring
1,99,103,158,58,20,230,105,18,11,28,72,white,summer
0,224,212,234,239,242,255,69,0,234,239,242,white,summer
76,83,85,196,75,79,96,125,134,203,205,203,white,summer
251,181,116,232,141,114,84,56,85,255,136,130,white,winter
240,247,224,211,187,221,188,150,202,149,186,97,white,spring
49,78,112,53,213,208,237,174,192,235,238,224,white,summer
116,93,32,206,166,96,243,237,224,107,122,64,white,spring
220,219,216,209,165,138,92,151,184,24,58,83,white,spring
156,160,161,215,212,204,167,192,190,77,103,114,white,spring
30,21,20,255,255,255,236,213,187,1,58,32,white,summer
27,42,55,220,197,195,214,225,235,173,196,215,white,summer
247,221,128,138,226,224,247,211,48,58,163,160,white,spring
250,203,128,251,216,176,246,151,112,181,43,64,white,spring
5,6,6,253,253,253,216,215,213,173,179,188,white,summer
252,214,153,221,201,216,246,200,204,240,156,162,white,spring
11,31,101,232,227,204,215,164,73,219,63,41,white,summer
180,248,200,251,200,88,255,130,16,86,88,25,white,summer
220,119,38,221,192,119,87,137,106,74,84,93,white,spring
214,221,224,68,111,160,34,60,96,81,85,91,white,spring
252,167,165,90,62,121,19,3,41,167,98,134,white,summer
248,168,197,251,209,96,235,99,160,228,70,80,white,spring
165,207,227,0,34,28,2,132,118,231,246,252,white,summer
255,176,1,68,238,119,1,153,146,251,71,94,white,summer
137,190,99,175,204,169,207,237,238,236,249,242,white,summer
166,223,235,252,151,157,248,205,79,251,74,155,white,spring
21,153,142,69,176,140,72,188,209,192,220,236,white,winter
113,91,91,164,124,122,214,197,196,15,17,16,white,spring
255,224,174,255,69,0,108,130,85,255,163,3,white,summer
191,215,237,96,163,217,0,116,183,0,59,115,white,spring
204,224,210,97,194,162,44,131,149,29,97,122,white,spring
243,104,112,232,218,192,255,183,176,169,197,208,white,spring
169,188,176,232,134,112,56,73,96,76,125,96,white,spring
107,27,0,174,139,112,249,254,251,86,56,45,white,spring
49,237,49,16,188,16,17,167,187,42,182,123,white,summer
240,216,184,99,79,64,243,240,233,230,183,148,white,summer
236,248,127,228,165,143,151,212,155,166,226,220,white,spring
238,231,224,114,84,80,198,173,144,247,202,201,white,spring
94,55,109,247,233,81,212,187,221,246,230,232,white,summer
173,211,208,151,12,16,21,50,80,254,252,255,white,summer
242,228,207,208,144,100,169,96,54,219,196,175,white,spring
161,106,232,177,159,249,14,53,6,254,163,3,white,summer
4,0,0,246,199,165,242,208,193,247,248,248,white,summer
181,242,238,255,121,48,0,224,234,249,241,224,white,summer
209,161,121,241,230,212,193,194,173,203,225,223,white,spring
208,222,229,232,147,148,246,241,231,152,142,146,white,spring
6,117,147,5,87,114,9,169,200,0,31,61,white,winter
251,188,84,248,220,176,252,94,112,242,177,144,white,spring
230,105,76,255,141,128,249,200,176,104,231,224,white,summer
226,217,202,74,148,168,43,41,60,106,73,115,white,spring
99,116,122,192,194,201,18,49,117,82,152,193,white,summer
245,99,26,254,235,160,212,30,0,72,29,1,white,summer
247,216,217,161,219,229,255,216,192,0,183,175,white,spring
33,197,196,249,233,80,255,148,178,193,79,96,white,summer
169,183,194,208,180,159,74,111,137,238,206,136,white,winter
140,155,136,245,232,218,115,94,147,239,241,239,white,spring
242,72,182,20,82,124,8,11,57,105,18,74,white,spring
159,144,207,4,97,177,177,54,91,233,216,225,white,summer
4,249,242,0,145,231,0,91,234,0,0,255,white,winter
8,57,43,87,142,135,247,226,199,41,102,12,white,summer
61,57,59,126,30,128,149,5,227,182,55,251,white,summer
252,77,176,249,232,48,34,21,48,245,40,112,white,spring
79,55,80,203,152,112,141,137,96,170,161,160,white,summer
115,67,109,229,230,233,182,124,154,31,37,47,white,spring
251,220,192,221,175,176,143,105,128,28,37,32,white,spring
252,220,169,236,196,179,184,208,221,102,157,186,white,spring
241,190,202,185,92,80,205,126,127,243,228,226,white,spring
253,210,100,255,198,128,245,107,57,103,3,5,white,spring
162,196,224,247,203,45,13,101,157,19,144,224,white,summer
58,106,89,167,168,138,214,193,138,185,200,188,white,summer
255,206,102,249,171,64,169,229,213,68,69,91,white,summer
222,179,173,235,124,143,220,93,133,223,209,197,white,spring
157,190,209,20,130,159,216,227,236,0,79,118,white,summer
240,237,224,67,63,48,151,12,16,145,142,128,white,summer
47,243,224,255,128,0,224,157,96,31,57,96,white,summer
252,248,246,0,187,209,0,224,234,150,161,168,white,summer
231,132,132,252,164,162,71,211,206,200,244,249,white,summer
163,193,74,109,131,67,209,3,209,110,53,98,white,spring
255,15,57,254,218,21,126,157,194,248,248,248,white,summer
165,140,179,161,106,232,234,231,250,217,161,160,white,spring
41,179,255,129,234,255,251,192,14,255,215,116,white,summer
229,232,232,141,151,151,78,84,92,0,4,1,white,spring
216,206,230,114,67,92,180,248,200,66,70,81,white,summer
229,218,206,188,190,192,92,83,80,60,54,48,white,spring
6,30,71,104,164,241,43,106,208,31,69,145,white,summer
237,231,208,253,205,147,3,79,57,84,147,105,white,summer
228,244,243,161,219,241,113,213,228,0,182,188,white,spring
113,159,30,74,114,18,213,206,88,16,66,16,white,spring
30,49,72,158,111,109,230,215,213,67,177,75,white,summer
41,102,12,247,226,199,87,142,135,28,69,8,white,summer
107,58,44,201,177,198,59,9,24,201,177,198,white,summer
246,212,210,237,209,250,159,168,235,65,32,169,white,spring
16,86,79,33,182,168,48,217,200,117,230,218,white,winter
243,204,60,209,154,48,125,63,32,0,0,0,white,summer
211,210,199,91,137,174,173,196,215,203,142,102,white,spring
236,241,242,127,127,127,244,216,0,5,7,7,white,summer
251,220,106,177,43,36,118,5,4,9,10,14,white,summer
255,255,255,233,216,225,229,206,246,182,85,200,white,spring
101,223,246,0,71,143,26,131,204,203,235,245,white,winter
184,51,48,203,215,208,243,237,224,213,182,144,white,summer
253,242,231,254,233,0,4,211,188,254,204,200,white,summer
169,36,32,209,145,62,14,49,96,19,83,144,white,summer
224,137,85,0,72,164,227,90,1,104,154,184,white,summer
248,215,168,239,151,113,221,221,164,123,88,61,white,spring
255,39,104,163,163,183,27,74,86,242,238,247,white,summer
247,98,1,254,235,160,212,30,0,103,41,1,white,summer
98,126,139,210,204,204,234,237,240,24,75,41,white,spring
233,103,155,248,205,79,185,163,209,110,224,224,white,spring
250,251,244,0,160,243,0,0,255,0,0,102,white,spring
0,116,221,155,204,253,54,214,231,129,89,159,white,summer
43,102,112,99,126,144,119,167,176,229,242,240,white,summer
60,76,112,220,161,176,237,238,241,145,104,160,white,summer
187,192,182,213,132,105,240,237,228,67,88,97,white,spring
242,218,208,236,180,185,234,133,199,137,154,137,white,spring
151,12,16,239,244,240,56,70,64,36,76,96,white,summer
227,230,224,37,41,48,192,179,160,107,132,144,white,summer
96,63,139,185,167,187,50,59,54,97,108,89,white,spring
253,242,237,247,201,182,241,161,126,165,62,18,white,spring
221,219,219,238,165,166,158,150,142,251,201,156,white,spring
16,66,16,106,136,32,211,192,47,242,228,55,white,spring
100,213,221,87,165,184,246,129,129,169,74,95,white,spring
191,132,34,54,27,40,188,156,34,182,204,215,white,summer
200,244,249,21,146,180,224,160,48,160,98,4,white,summer
63,109,60,247,187,219,255,11,172,123,22,62,white,spring
19,195,247,255,39,104,233,233,231,255,243,135,white,summer
255,191,144,243,104,112,206,214,202,255,245,215,white,summer
4,59,177,30,138,211,16,188,16,29,53,55,white,summer
27,46,60,12,12,30,77,0,17,243,227,226,white,summer
234,49,96,20,43,112,233,158,176,70,82,160,white,summer
122,0,81,211,177,194,36,8,49,228,75,125,white,summer
24,72,160,71,216,224,89,206,224,38,146,208,white,summer
233,218,196,57,34,31,239,129,62,94,104,38,white,summer
208,180,159,192,211,154,79,95,44,42,41,28,white,spring
213,213,192,77,221,224,49,204,224,29,179,192,white,spring
59,34,68,160,106,180,232,69,174,235,164,8,white,summer
143,69,83,244,243,241,230,229,227,226,172,185,white,spring
8,130,128,6,51,64,0,128,0,4,208,16,white,summer
0,143,222,164,216,251,56,204,237,149,113,171,white,summer
0,0,163,0,65,151,127,62,113,223,38,94,white,summer
240,231,228,19,25,25,99,79,64,180,154,135,white,summer
0,51,102,113,177,197,203,230,239,240,242,243,white,summer
240,147,96,246,34,128,251,143,192,249,191,80,white,spring
254,250,229,212,197,182,196,206,197,110,114,110,white,spring
43,24,163,243,83,213,233,216,225,136,201,250,white,summer
115,138,118,101,252,106,255,11,172,228,249,149,white,summer
50,89,128,212,194,176,32,46,80,119,113,128,white,spring
220,119,38,236,192,70,245,247,237,66,192,210,white,summer
205,211,208,135,177,176,56,110,144,52,74,112,white,spring
59,34,68,16,81,96,45,118,112,205,150,107,white,summer
109,61,56,233,218,196,224,172,142,81,72,67,white,spring
1,98,54,2,137,75,6,4,10,190,211,171,white,summer
120,125,18,86,124,9,188,196,28,235,240,148,white,summer
4,10,24,11,28,71,245,245,233,135,63,73,white,summer
0,31,61,21,25,131,24,99,214,182,203,225,white,winter
227,105,32,239,167,16,232,212,192,220,173,144,white,summer
247,203,202,236,105,100,241,131,112,114,24,22,white,spring
43,67,16,78,113,48,201,181,144,149,178,80,white,spring
43,67,16,78,113,48,201,181,144,149,178,80,white,spring
232,198,174,212,199,175,189,184,182,128,118,114,white,spring
0,38,76,54,69,79,163,171,176,212,208,208,white,summer
238,222,224,248,125,176,239,92,144,188,45,64,white,spring
233,40,160,39,17,64,60,190,208,230,211,80,white,summer
37,40,39,255,254,230,41,18,17,248,207,44,white,summer
220,167,160,22,92,64,225,122,130,140,199,192,white,summer
146,113,194,45,22,116,255,242,255,112,58,207,white,summer
220,242,240,255,230,91,250,215,243,102,184,201,white,spring
239,234,224,233,143,192,158,143,144,205,96,144,white,spring
186,211,228,30,119,189,16,86,79,4,52,92,white,spring
30,18,0,139,128,96,253,255,240,151,12,16,white,summer
37,108,112,191,13,112,240,84,176,224,233,208,white,summer
245,213,228,230,101,121,252,192,197,247,231,206,white,spring
227,239,249,170,205,229,108,196,220,63,146,183,white,spring
248,255,202,182,208,132,255,203,50,47,118,4,white,summer
142,183,206,84,98,123,162,190,239,251,178,163,white,summer
180,100,144,227,217,224,241,236,208,99,79,80,white,spring
35,66,74,101,169,166,236,236,235,59,112,125,white,summer
104,106,78,207,205,194,151,117,87,117,117,115,white,spring
19,1,112,205,244,220,1,148,154,205,0,70,white,summer
251,223,160,255,194,199,93,217,251,187,213,210,white,spring
76,50,96,228,52,128,234,212,192,244,58,176,white,spring
0,12,32,239,51,64,241,180,32,255,250,224,white,summer
32,57,70,119,141,153,198,174,150,255,153,54,white,summer
253,121,36,87,165,184,226,27,50,236,239,91,white,summer
114,104,176,220,140,176,45,210,32,231,33,160,white,spring
201,217,240,129,85,186,254,196,55,254,91,214,white,spring
195,165,124,193,147,125,193,177,153,222,216,205,white,spring
34,44,69,158,191,207,142,123,150,238,214,211,white,summer
237,229,225,149,103,91,198,165,144,212,172,116,white,spring
101,212,238,157,232,156,250,193,47,207,233,239,white,summer
177,65,0,227,158,48,138,89,32,143,174,112,white,winter
253,191,175,252,238,150,126,182,215,77,82,100,white,spring
91,92,80,27,30,30,194,173,144,228,220,192,white,summer
135,74,91,35,36,37,227,205,188,175,178,174,white,summer
78,81,78,152,140,128,224,163,159,249,235,225,white,summer
101,78,48,82,118,64,33,37,16,26,51,21,white,winter
96,56,64,189,137,144,159,148,160,183,208,224,white,summer
